Player,Shirt_Number,Player_Nation,Player_Position,Player_Age,Minutes_Played,Goals,Assists,Penalty_Kick_Scored,Penalty_Kick_Attempted,Shots,Shots_On_Targer,Yellow_Cards,Red_Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Progresive_Passes,Carries,Progresive_Carries,Dribbles_Attempted,Dribbles_Succesful,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Total_Passing_Distance,Progressive_Passing_Distacne,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_Percentage,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_Percentage,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_Percentage,Assists,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP,Passes_Attempted,Live,Dead,FK,TB,Sw,Crosses,TI,CK,Crs_In,Crs_Out,Crs_Str,Passes_Completed,Passes_Off,Passes_Blocked,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Drib_Tkl,Drib_Chl,Tkl%,Lost,Blocks,Sh_Blocks,Pass_Blocked,Int ,Tkl_Int,Clr,Err,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live_touches,Takeons,Succ_Takeons,Succ_Takeons_%,Takeons_Tkl,Takenone_Tkl_%,Carries,TotDist,PrgDist,PrgC,Final_Third_Carries,Penalty_Carries,MisControls,Disp,Pass_Rec,Pass_Rec_Prg,Yellow_Cards,Red_Cards,2CrdY,Fls,Fld,Off,Crosses,Int,TklW,PKWin,PkCon,OG,Recov,Awon,Alost,Awon_%,Team,Opponenet,Home/Away
Justin Kluivert,19,NED,AM,25-167,28,1,1,1,1,0,0,0,0,6,0,0,0,0.8,0.0,0.1,1,1,4,4,100.0,0,2,0,0,0,4,4,100.0,41,9,4,4,100.0,0,0,,0,0,,1,0.1,0.1,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,3,3,2,5,0,0,,0,,2,5,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,Bournemouth,Arsenal,Home
Lewis Cook,4,ENG,DM,27-259,90,0,0,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.1,3,1,35,47,74.5,2,29,2,2,1,35,47,74.5,656,130,9,11,81.8,25,29,86.2,1,7,14.3,0,0.1,0.0,2,2,0,0,2,47,41,6,2,0,0,5,0,4,2,0,0,35,0,1,3,2,3,0,0,2,3,66.7,1,1,0,1,1,4,1,0,55,1,7,31,18,0,55,2,1,50.0,1,50.0,29,182,108,2,2,0,1,1,31,1,0,0,0,0,0,0,5,1,2,0,0,0,5,1,1,50.0,Bournemouth,Arsenal,Home
Luis Sinisterra,17,COL,LW,25-124,28,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,6,3,3,1,2,5,40.0,32,0,1,1,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,11,0,1,4,6,1,11,3,1,33.3,2,66.7,6,46,26,3,0,1,0,0,6,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,,Bournemouth,Arsenal,Home
Marcos Senesi,5,ARG,CB,27-162,90,0,0,0,0,0,0,0,0,75,4,1,1,0.0,0.0,0.0,2,0,48,63,76.2,4,42,3,0,0,48,63,76.2,784,323,24,30,80.0,24,28,85.7,0,5,0.0,0,0.0,0.0,0,2,1,0,4,63,60,3,2,0,0,1,1,0,0,0,0,48,0,0,4,4,2,1,1,1,1,100.0,0,1,0,1,1,5,5,0,75,5,33,31,12,1,75,0,0,,0,,42,272,187,3,3,0,1,0,46,1,0,0,0,0,2,0,1,1,4,0,0,0,5,5,2,71.4,Bournemouth,Arsenal,Home
Marcus Tavernier,16,ENG,AM,25-211,62,0,0,0,0,3,1,0,0,34,2,0,0,0.2,0.2,0.0,2,0,21,26,80.8,4,17,1,4,3,21,26,80.8,296,31,12,12,100.0,8,12,66.7,0,1,0.0,0,0.0,0.0,1,3,0,0,4,26,22,4,1,0,0,3,0,2,2,0,0,21,0,0,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,34,0,0,16,19,3,34,4,3,75.0,1,25.0,17,110,45,1,1,0,2,1,23,1,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,,Bournemouth,Arsenal,Home
Milos Kerkez,3,HUN,LB,20-347,90,0,0,0,0,1,0,0,0,69,2,0,1,0.1,0.1,0.0,4,0,51,58,87.9,11,38,7,2,2,51,58,87.9,815,304,28,30,93.3,20,23,87.0,3,5,60.0,0,0.0,0.0,1,5,0,0,11,58,52,6,1,0,0,2,5,0,0,0,0,51,0,2,2,0,0,2,0,1,2,50.0,1,1,0,1,0,2,4,0,69,5,22,24,25,2,69,2,2,100.0,0,0.0,38,343,257,7,5,0,1,0,42,4,0,0,0,1,1,0,2,0,0,0,0,0,6,0,1,0.0,Bournemouth,Arsenal,Home
Ryan Christie,10,SCO,DM,29-240,28,1,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.0,1,0,9,11,81.8,0,8,0,0,0,9,11,81.8,208,25,3,4,75.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,11,9,2,1,0,1,1,0,1,1,0,0,9,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,4,0,17,4,9,6,2,1,17,0,0,,0,,8,42,10,0,0,0,0,0,7,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,,Bournemouth,Arsenal,Home
Ben White,4,ENG,RB,27-011,90,0,0,0,0,0,0,1,0,46,2,1,0,0.0,0.0,0.0,0,0,31,38,81.6,0,20,1,0,0,31,38,81.6,470,193,17,18,94.4,9,14,64.3,2,2,100.0,0,0.0,0.0,0,0,0,0,0,38,31,7,3,0,1,2,4,0,0,0,0,31,0,0,2,0,2,0,0,2,5,40.0,3,0,0,0,1,3,2,0,46,3,22,14,10,1,46,0,0,,0,,20,69,31,1,1,0,1,1,21,2,1,0,0,1,1,0,2,1,0,0,0,0,5,1,0,100.0,Arsenal,Bournemouth,Away
Declan Rice,41,ENG,DM,25-279,90,0,0,0,0,0,0,0,0,62,3,0,1,0.0,0.0,0.1,3,0,42,49,85.7,6,28,3,4,3,42,49,85.7,701,205,19,19,100.0,17,21,81.0,3,4,75.0,0,0.1,0.2,2,6,0,0,6,49,43,6,0,0,0,4,0,3,0,3,0,42,0,0,3,1,2,1,0,1,1,100.0,0,1,1,0,0,3,1,0,62,6,28,20,14,2,62,4,3,75.0,0,0.0,28,254,139,3,1,1,1,1,37,0,0,0,0,0,3,0,4,0,1,0,0,0,7,1,0,100.0,Arsenal,Bournemouth,Away
Ethan Nwaneri,53,ENG,AM,17-212,10,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,0,5,0,0,0,8,10,80.0,152,66,4,4,100.0,1,2,50.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,10,8,2,1,0,0,2,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,12,0,2,4,6,0,12,0,0,,0,,5,36,1,0,0,0,1,0,6,1,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,,Arsenal,Bournemouth,Away
Gabriel Jesus,9,BRA,RW,27-199,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,9,1,2,1,3,6,50.0,54,0,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,5,6,3,11,2,1,50.0,0,0.0,9,52,39,1,1,0,1,0,8,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,,Arsenal,Bournemouth,Away
Gabriel Magalhães,6,BRA,CB,26-305,90,0,0,0,0,1,0,0,0,60,0,0,2,0.0,0.0,0.0,0,0,42,51,82.4,2,35,0,0,0,42,51,82.4,676,255,23,24,95.8,18,21,85.7,1,6,16.7,0,0.0,0.0,0,1,0,0,2,51,50,1,0,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,6,0,60,11,32,23,5,1,60,0,0,,0,,35,117,70,0,0,0,0,0,43,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,100.0,Arsenal,Bournemouth,Away
Gabriel Martinelli,11,BRA,LW,23-123,28,0,0,0,0,2,1,0,0,18,0,0,0,0.4,0.4,0.0,1,0,11,13,84.6,2,10,2,2,0,11,13,84.6,129,59,7,7,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,2,13,12,1,0,0,0,1,1,0,0,0,0,11,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,18,0,1,4,13,2,18,2,0,0.0,2,100.0,10,66,58,2,1,0,1,1,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Arsenal,Bournemouth,Away
Jakub Kiwior,15,POL,CB,24-247,44,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,13,17,76.5,0,9,0,2,1,13,17,76.5,250,68,5,8,62.5,7,8,87.5,1,1,100.0,0,0.0,0.0,0,1,0,0,0,17,17,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,22,4,13,9,0,0,22,2,1,50.0,1,50.0,9,38,4,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,Arsenal,Bournemouth,Away
Kai Havertz,29,GER,FW,25-130,90,0,0,0,0,1,0,0,0,52,0,0,1,0.0,0.0,0.0,1,0,25,36,69.4,4,31,1,2,0,25,36,69.4,296,60,17,21,81.0,7,8,87.5,0,0,,0,0.0,0.0,0,6,0,0,4,36,36,0,0,0,0,1,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0,52,4,9,26,17,4,52,2,0,0.0,1,50.0,31,115,40,1,0,1,5,1,40,3,0,0,0,3,0,0,1,0,0,0,0,0,1,6,7,46.2,Arsenal,Bournemouth,Away
Leandro Trossard,19,BEL,LW,29-320,62,0,0,0,0,0,0,0,0,27,2,2,1,0.0,0.0,0.0,1,0,13,21,61.9,0,20,1,0,0,13,21,61.9,232,36,7,9,77.8,4,5,80.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,21,20,1,0,0,0,1,1,0,0,0,0,13,0,3,2,1,0,1,1,1,2,50.0,1,1,0,1,2,4,2,0,27,2,11,10,7,1,27,0,0,,0,,20,113,38,1,3,0,0,3,19,3,0,0,0,0,0,0,1,2,1,0,0,0,5,0,1,0.0,Arsenal,Bournemouth,Away
Mikel Merino,23,ESP,"RW,AM",28-119,80,0,0,0,0,1,0,0,0,49,4,2,2,0.2,0.2,0.4,1,0,23,34,67.6,2,28,1,0,0,23,34,67.6,354,107,15,19,78.9,6,10,60.0,2,3,66.7,0,0.4,0.1,1,2,1,0,2,34,34,0,0,1,1,0,0,0,0,0,0,23,0,2,4,3,3,0,1,2,6,33.3,4,2,1,1,2,6,2,0,49,3,17,21,13,3,49,0,0,,0,,28,95,27,1,1,1,3,2,31,4,0,0,0,0,0,0,0,2,3,0,0,0,8,3,2,60.0,Arsenal,Bournemouth,Away
Raheem Sterling,30,ENG,RW,29-316,36,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,7,4,2,1,6,10,60.0,63,24,5,8,62.5,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,0,0,5,8,4,13,2,1,50.0,0,0.0,7,80,60,4,0,4,1,1,10,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Arsenal,Bournemouth,Away
Riccardo Calafiori,33,ITA,LB,22-153,90,0,0,0,0,0,0,0,0,62,3,0,2,0.0,0.0,0.0,0,0,38,48,79.2,1,23,1,1,0,38,48,79.2,590,185,24,26,92.3,11,16,68.8,2,3,66.7,0,0.0,0.0,0,1,1,1,1,48,40,8,2,0,0,2,6,0,0,0,0,38,0,1,3,3,2,1,0,3,5,60.0,2,2,1,1,0,3,6,0,62,6,31,19,12,0,62,1,0,0.0,1,100.0,23,98,22,1,0,0,2,0,26,2,0,0,0,0,1,0,2,0,3,0,0,0,2,2,1,66.7,Arsenal,Bournemouth,Away
Thomas Partey,5,GHA,"DM,CB",31-128,90,0,0,0,0,1,0,0,0,69,2,0,1,0.0,0.0,0.0,2,0,55,63,87.3,6,36,1,2,1,55,63,87.3,854,281,27,31,87.1,27,28,96.4,0,1,0.0,0,0.0,0.0,0,3,0,0,6,63,62,1,1,0,0,0,0,0,0,0,0,55,0,1,2,1,1,1,0,1,5,20.0,4,1,0,1,0,2,0,1,69,2,25,30,14,0,69,2,1,50.0,1,50.0,36,178,88,1,1,0,2,0,45,0,0,0,0,2,2,0,0,0,1,0,0,0,5,3,1,75.0,Arsenal,Bournemouth,Away
William Saliba,2,FRA,CB,23-209,29,0,0,0,0,0,0,0,1,21,1,1,1,0.0,0.0,0.0,0,0,17,18,94.4,1,14,0,0,0,17,18,94.4,339,40,2,2,100.0,14,14,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,17,0,0,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,21,3,14,7,0,0,21,0,0,,0,,14,72,49,0,0,0,0,0,15,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,,Arsenal,Bournemouth,Away
André,7,BRA,CM,23-096,45,0,0,0,0,0,0,0,0,21,2,0,6,0.0,0.0,0.0,0,0,6,7,85.7,0,3,0,0,0,6,7,85.7,85,33,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,2,0,0,2,2,100.0,0,6,1,5,0,2,4,0,21,11,16,5,0,0,21,0,0,,0,,3,14,7,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,Wolves,Manchester City,Home
Carlos Forbs,26,POR,FW,20-215,24,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,4,1,0,0,4,6,66.7,42,0,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,9,0,2,3,4,1,9,0,0,,0,,4,29,26,1,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Wolves,Manchester City,Home
Craig Dawson,15,ENG,CB,34-167,90,0,0,0,0,0,0,0,0,33,1,2,1,0.0,0.0,0.0,0,0,19,20,95.0,0,12,0,0,0,19,20,95.0,375,61,8,8,100.0,8,8,100.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,9,0,33,14,24,9,0,0,33,0,0,,0,,12,39,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,33.3,Wolves,Manchester City,Home
Gonçalo Guedes,29,POR,FW,27-326,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,3,1,0,0,4,5,80.0,144,18,1,2,50.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,5,4,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,3,2,0,5,0,0,,0,,3,32,23,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Wolves,Manchester City,Home
Jean-Ricner Bellegarde,27,FRA,CM,26-115,1,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Wolves,Manchester City,Home
João Gomes,8,BRA,CM,23-251,89,0,0,0,0,0,0,1,0,33,6,1,3,0.0,0.0,0.0,0,0,10,17,58.8,1,11,1,1,1,10,17,58.8,131,7,7,8,87.5,3,5,60.0,0,3,0.0,0,0.0,0.0,0,1,0,0,1,17,15,2,0,0,0,1,0,0,0,0,0,10,0,1,6,4,6,0,0,1,3,33.3,2,3,0,3,1,7,2,0,33,4,22,10,2,1,33,1,1,100.0,0,0.0,11,95,43,1,0,0,1,2,7,1,1,0,0,3,1,0,1,1,4,0,0,0,6,1,1,50.0,Wolves,Manchester City,Home
Jørgen Strand Larsen,9,NOR,FW,24-257,79,1,0,0,0,1,1,0,0,19,0,0,1,0.5,0.5,0.0,1,0,4,8,50.0,0,7,0,0,0,4,8,50.0,34,5,3,5,60.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,3,0,19,2,8,9,2,1,19,0,0,,0,,7,18,5,0,0,0,2,0,9,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,5,28.6,Wolves,Manchester City,Home
Mario Lemina,5,GAB,CM,31-049,90,0,0,0,0,0,0,0,0,33,2,2,2,0.0,0.0,0.0,0,0,16,19,84.2,2,14,0,1,0,16,19,84.2,361,138,7,10,70.0,5,5,100.0,4,4,100.0,0,0.0,0.0,0,2,0,0,2,19,19,0,0,0,1,0,0,0,0,0,0,16,0,0,2,0,1,1,0,1,1,100.0,0,2,0,2,2,4,7,0,33,7,19,12,2,0,33,1,0,0.0,1,100.0,14,59,12,0,0,0,0,0,15,0,0,0,0,2,0,0,0,2,0,0,0,0,3,1,0,100.0,Wolves,Manchester City,Home
Matheus Cunha,10,BRA,FW,25-146,66,0,0,0,0,1,0,0,0,22,2,0,2,0.0,0.0,0.2,2,0,11,13,84.6,2,16,0,3,2,11,13,84.6,206,97,7,8,87.5,1,1,100.0,3,3,100.0,0,0.2,0.2,1,1,0,0,2,13,11,1,0,1,0,1,0,1,0,0,1,11,1,0,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,22,0,6,14,2,0,22,3,2,66.7,1,33.3,16,126,59,0,0,0,0,3,14,1,0,0,0,0,1,0,1,0,1,0,0,0,3,1,2,33.3,Wolves,Manchester City,Home
Nélson Semedo,22,POR,WB,30-339,90,0,1,0,0,1,1,1,0,37,2,0,1,0.2,0.2,0.5,1,1,16,22,72.7,1,18,2,1,0,16,22,72.7,288,117,8,8,100.0,6,7,85.7,2,6,33.3,1,0.5,0.1,1,0,2,1,1,22,19,3,0,0,0,1,3,0,0,0,0,16,0,0,2,2,2,0,0,1,2,50.0,1,1,0,1,0,2,8,0,37,10,23,8,6,1,37,1,0,0.0,1,100.0,18,114,92,2,3,2,1,0,15,2,1,0,0,1,0,0,1,0,2,0,0,0,5,0,0,,Wolves,Manchester City,Home
Rayan Aït-Nouri,3,ALG,WB,23-136,90,0,0,0,0,0,0,0,0,37,5,0,2,0.0,0.0,0.0,1,0,16,25,64.0,0,18,2,3,1,16,25,64.0,197,76,9,12,75.0,6,8,75.0,0,1,0.0,0,0.0,0.0,1,1,0,0,0,25,23,2,0,0,0,1,2,0,0,0,0,16,0,3,5,2,4,0,1,4,6,66.7,2,2,2,0,0,5,3,0,37,6,20,8,9,0,37,3,1,33.3,1,33.3,18,107,43,2,0,0,1,0,18,1,0,0,0,0,0,1,1,0,2,0,0,0,4,1,0,100.0,Wolves,Manchester City,Home
Santiago Bueno,4,URU,CB,25-346,90,0,0,0,0,0,0,0,0,28,1,0,2,0.0,0.0,0.0,1,1,14,20,70.0,0,12,0,0,0,14,20,70.0,261,81,5,5,100.0,7,10,70.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,1,0,0,0,1,0.0,1,2,2,0,0,1,6,0,28,11,21,6,1,0,28,0,0,,0,,12,25,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,60.0,Wolves,Manchester City,Home
Tommy Doyle,20,ENG,CM,23-003,45,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.0,0,0,8,9,88.9,1,6,0,0,0,8,9,88.9,156,60,3,3,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,1,2,1,0,16,3,7,7,2,0,16,0,0,,0,,6,37,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0,Wolves,Manchester City,Home
Toti Gomes,24,POR,CB,25-278,90,0,0,0,0,0,0,1,0,35,3,0,1,0.0,0.0,0.0,0,0,18,26,69.2,0,14,0,0,0,18,26,69.2,317,158,9,11,81.8,7,10,70.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,26,20,6,0,0,0,0,6,0,0,0,0,18,0,1,3,1,3,0,0,0,0,,0,1,0,1,0,3,6,0,35,6,22,12,1,0,35,0,0,,0,,14,30,2,0,0,0,0,1,19,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,100.0,Wolves,Manchester City,Home
Bernardo Silva,20,POR,"CM,RM",30-071,90,0,0,0,0,4,1,0,0,55,2,0,0,0.4,0.4,0.1,3,0,42,46,91.3,1,34,3,3,1,42,46,91.3,534,70,27,28,96.4,10,11,90.9,2,3,66.7,0,0.1,0.2,1,2,0,0,1,46,43,3,1,0,0,1,2,0,0,0,0,42,0,1,2,2,0,0,2,1,2,50.0,1,0,0,0,0,2,0,0,55,0,3,13,39,13,55,3,1,33.3,2,66.7,34,218,93,3,1,2,1,4,40,9,0,0,0,2,0,1,1,0,2,0,0,0,2,0,0,,Manchester City,Wolves,Away
Erling Haaland,9,NOR,FW,24-091,90,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,8,0,1,0,6,8,75.0,90,4,3,4,75.0,1,2,50.0,1,1,100.0,0,0.0,0.0,1,0,1,0,1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,0,3,10,4,13,1,0,0.0,1,100.0,8,25,1,0,0,0,2,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,Manchester City,Wolves,Away
Jack Grealish,10,ENG,LM,29-040,18,0,0,0,0,1,1,0,0,26,0,0,0,0.0,0.0,0.2,3,0,19,25,76.0,3,21,9,0,0,19,25,76.0,282,93,13,13,100.0,4,6,66.7,2,6,33.3,0,0.2,0.2,3,0,2,0,3,25,21,4,0,0,0,6,0,4,2,0,0,19,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,0,1,1,24,10,26,0,0,,0,,21,205,176,9,1,9,0,0,21,11,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,,Manchester City,Wolves,Away
Jeremy Doku,11,BEL,"LM,RM",22-146,66,0,1,0,0,3,0,0,0,68,3,0,1,0.1,0.1,0.1,5,1,39,54,72.2,8,49,18,9,6,39,54,72.2,519,127,25,31,80.6,13,15,86.7,0,0,,1,0.1,0.2,2,0,7,0,8,54,53,0,0,0,0,5,0,0,0,0,0,39,1,7,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0,68,0,1,7,62,16,68,9,6,66.7,1,11.1,49,465,313,18,5,9,2,3,55,29,0,0,0,1,1,0,5,0,2,0,0,0,3,0,0,,Manchester City,Wolves,Away
John Stones,5,ENG,CB,30-145,90,1,0,0,0,1,1,0,0,97,1,0,1,0.3,0.3,0.0,1,0,79,92,85.9,8,64,6,0,0,79,92,85.9,1242,276,40,46,87.0,33,37,89.2,4,5,80.0,0,0.0,0.1,0,8,0,0,8,92,91,1,1,0,0,0,0,0,0,0,0,79,0,1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,97,2,18,46,33,2,97,0,0,,0,,64,444,287,6,5,0,0,0,74,1,0,0,0,0,1,0,0,0,0,0,0,0,4,6,3,66.7,Manchester City,Wolves,Away
Joško Gvardiol,24,CRO,LB,22-271,90,1,0,0,0,1,1,0,0,133,1,0,0,0.0,0.0,0.1,4,1,117,128,91.4,30,105,5,0,0,117,128,91.4,1700,307,70,74,94.6,45,48,93.8,1,2,50.0,0,0.1,0.1,3,14,3,0,30,128,119,9,2,0,0,2,7,0,0,0,0,117,0,2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,133,1,8,43,83,6,133,0,0,,0,,105,486,297,5,6,0,0,0,109,3,0,0,0,0,0,0,2,0,1,0,0,0,3,1,2,33.3,Manchester City,Wolves,Away
Mateo Kovačić,8,CRO,DM,30-167,85,0,0,0,0,1,0,0,0,81,1,0,1,0.0,0.0,0.0,4,0,64,71,90.1,9,63,4,5,1,64,71,90.1,910,240,33,37,89.2,30,31,96.8,0,1,0.0,0,0.0,0.1,1,3,2,0,9,71,70,1,1,0,0,0,0,0,0,0,0,64,0,1,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,81,0,4,29,49,1,81,5,1,20.0,2,40.0,63,348,181,4,5,0,1,1,68,2,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,100.0,Manchester City,Wolves,Away
Matheus Nunes,27,POR,CM,26-054,5,0,0,0,0,1,0,0,0,6,1,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,4,0,0,0,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,6,0,2,1,3,1,6,0,0,,0,,4,15,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,Manchester City,Wolves,Away
Phil Foden,47,ENG,"CM,RM",24-145,24,0,1,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.3,5,2,13,16,81.3,2,11,0,0,0,13,16,81.3,239,103,10,12,83.3,0,0,,3,3,100.0,1,0.3,0.3,1,1,0,0,2,16,14,2,0,0,0,2,0,2,2,0,0,13,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,0,3,14,3,17,0,0,,0,,11,30,8,0,0,0,0,1,16,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Manchester City,Wolves,Away
